V1,signif
aten_0.1.m1.11967.m1,1
aten_0.1.m1.11969.m1,1
aten_0.1.m1.1197.m1,1
aten_0.1.m1.11974.m1,1
aten_0.1.m1.11975.m1,1
aten_0.1.m1.1198.m1,1
aten_0.1.m1.11981.m1,1
aten_0.1.m1.11989.m1,1
aten_0.1.m1.1199.m1,1
aten_0.1.m1.11991.m1,1
aten_0.1.m1.11992.m1,1
aten_0.1.m1.11993.m1,1
aten_0.1.m1.11994.m1,1
aten_0.1.m1.11995.m1,1
aten_0.1.m1.1200.m1,1
aten_0.1.m1.12004.m1,1
aten_0.1.m1.12008.m1,1
aten_0.1.m1.12009.m1,1
aten_0.1.m1.1201.m1,1
aten_0.1.m1.12011.m1,1
aten_0.1.m1.12017.m1,1
aten_0.1.m1.12019.m1,1
aten_0.1.m1.12022.m1,1
aten_0.1.m1.12023.m1,1
aten_0.1.m1.12026.m1,1
aten_0.1.m1.12027.m1,1
aten_0.1.m1.12028.m1,1
aten_0.1.m1.12032.m1,1
aten_0.1.m1.12033.m1,1
aten_0.1.m1.12036.m1,1
aten_0.1.m1.12038.m1,1
aten_0.1.m1.12040.m1,1
aten_0.1.m1.12042.m1,1
aten_0.1.m1.12045.m1,1
aten_0.1.m1.1205.m1,1
aten_0.1.m1.12051.m1,1
aten_0.1.m1.12059.m1,1
aten_0.1.m1.1206.m1,1
aten_0.1.m1.12061.m1,1
aten_0.1.m1.12063.m1,1
aten_0.1.m1.12064.m1,1
aten_0.1.m1.12067.m1,1
aten_0.1.m1.12069.m1,1
aten_0.1.m1.12072.m1,1
aten_0.1.m1.12082.m1,1
aten_0.1.m1.12087.m1,1
aten_0.1.m1.12090.m1,1
aten_0.1.m1.12093.m1,1
aten_0.1.m1.12096.m1,1
aten_0.1.m1.12098.m1,1
aten_0.1.m1.1210.m1,1
aten_0.1.m1.12101.m1,1
aten_0.1.m1.12108.m1,1
aten_0.1.m1.12110.m1,1
aten_0.1.m1.12112.m1,1
aten_0.1.m1.12113.m1,1
aten_0.1.m1.12115.m1,1
aten_0.1.m1.12116.m1,1
aten_0.1.m1.12118.m1,1
aten_0.1.m1.1212.m1,1
aten_0.1.m1.12121.m1,1
aten_0.1.m1.12123.m1,1
aten_0.1.m1.12124.m1,1
aten_0.1.m1.12125.m1,1
aten_0.1.m1.12157.m1,1
aten_0.1.m1.12158.m1,1
aten_0.1.m1.12159.m1,1
aten_0.1.m1.1216.m1,1
aten_0.1.m1.12162.m1,1
aten_0.1.m1.12165.m1,1
aten_0.1.m1.12166.m1,1
aten_0.1.m1.12167.m1,1
aten_0.1.m1.1217.m1,1
aten_0.1.m1.12170.m1,1
aten_0.1.m1.12171.m1,1
aten_0.1.m1.12172.m1,1
aten_0.1.m1.12173.m1,1
aten_0.1.m1.12176.m1,1
aten_0.1.m1.12179.m1,1
aten_0.1.m1.1219.m1,1
aten_0.1.m1.12190.m1,1
aten_0.1.m1.12191.m1,1
aten_0.1.m1.12193.m1,1
