gene	CoPt_E_rep1	CoPt_H_rep1	CoPt_E_rep2	CoPt_H_rep2	CoPt_E_rep3	CoPt_H_rep3	CoPt_E_rep4	CoPt_H_rep4	Falu_E_rep1	Falu_H_rep1	Falu_E_rep3	Falu_E_rep4	Falu_H_rep4	Falu_E_rep6	Falu_H_rep6	Ftele_H_rep1	Ftele_E_rep3	Ftele_H_rep3	Ftele_E_rep5	Ftele_H_rep5	Ftele_E_rep6	Ftele_H_rep6
aten_0.1.m1.30090.m1	103.00	150.00	143.00	171.00	203.00	416.00	249.00	116.00	158.00	107.00	120.00	163.00	102.00	129.00	364.00	431.00	107.00	170.00	74.00	115.00	132.00	560.00
aten_0.1.m1.25581.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.24153.m1	29.00	4.00	36.00	15.00	85.00	22.00	85.00	4.00	68.00	20.00	61.00	66.00	14.00	47.00	8.00	11.00	60.00	7.00	20.00	7.00	68.00	5.00
aten_0.1.m1.36582.m1	58.00	12.00	58.00	0.00	53.00	1.00	59.00	0.00	26.00	0.00	46.00	72.00	0.00	41.00	1.00	6.00	21.00	1.00	38.00	29.00	23.00	1.00
aten_0.1.m1.35707.m1	44.34	33.85	51.88	5.24	89.08	115.72	75.61	6.07	42.68	0.44	51.60	55.72	14.95	28.07	13.04	1.51	37.03	1.88	36.16	25.52	9.82	10.58
aten_0.1.m1.5028.m1	19.64	7.97	40.61	5.29	38.31	28.66	38.98	0.00	36.35	2.02	19.85	38.04	1.54	32.14	14.40	12.10	11.43	2.83	14.61	2.50	11.04	2.18
aten_0.1.m1.13748.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.18858.m1	155.36	157.22	148.82	25.90	411.42	267.19	331.75	129.53	203.85	46.08	253.10	340.47	118.80	160.32	237.12	124.93	298.21	174.73	106.45	109.79	170.64	92.99
aten_0.1.m1.8875.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.8444.m1	385.00	1229.00	519.00	2511.00	1032.00	2810.00	1440.00	1066.00	530.00	1785.00	792.00	891.00	1909.00	639.00	1786.00	1481.00	791.00	2069.00	536.00	2093.00	904.00	2335.00
aten_0.1.m1.23819.m1	12.00	3.00	26.00	3.00	22.00	3.00	16.00	2.00	18.00	3.00	4.00	31.00	0.00	13.00	1.00	1.00	12.00	0.00	7.00	3.00	5.00	1.00
aten_0.1.m1.23797.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.17055.m1	450.00	210.00	720.00	112.00	1538.00	901.00	1117.00	161.00	788.00	119.00	967.00	858.00	396.00	538.00	347.00	509.00	669.00	206.00	675.00	316.00	564.00	251.00
aten_0.1.m1.36976.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.1649.m1	249.00	54.00	320.00	10.00	427.00	90.00	408.00	25.00	238.00	9.00	341.00	330.00	44.00	228.00	25.00	31.00	208.00	14.00	188.00	37.00	155.00	20.00
aten_0.1.m1.2562.m1	27.00	4.00	16.00	2.00	41.00	9.00	9.00	2.00	36.00	3.00	39.00	113.00	4.00	52.00	4.00	2.00	25.00	0.00	32.00	3.00	12.00	0.00
aten_0.1.m1.5085.m1	8973.00	6782.00	7528.00	2150.00	13504.00	10836.00	10093.00	5254.00	5537.00	1904.00	7015.00	7668.00	4506.00	7488.00	4847.00	4570.00	4457.00	3061.00	7221.00	4237.00	7560.00	3325.00
aten_0.1.m1.36862.m1	393.00	130.00	395.00	37.00	711.00	225.00	645.00	41.00	334.00	37.00	376.00	435.00	84.00	281.00	98.00	73.00	146.00	10.00	309.00	73.00	207.00	36.00
aten_0.1.m1.14327.m1	1851.43	688.92	2037.75	85.64	2931.92	1125.71	2686.69	400.69	1785.65	136.68	1795.57	1388.00	242.95	1335.85	356.00	370.74	1211.00	183.00	1725.76	455.65	1185.68	203.00
aten_0.1.m1.3041.m1	31.75	0.76	50.19	10.53	26.19	11.93	60.98	10.79	64.35	16.05	20.90	35.16	15.89	29.38	5.71	24.58	57.66	26.16	36.55	26.10	23.16	12.59
aten_0.1.m1.27754.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.2389.m1	30.00	2.00	24.00	0.00	21.00	1.00	7.00	0.00	9.00	2.00	8.00	5.00	0.00	4.00	0.00	6.00	4.00	0.00	6.00	7.00	1.00	0.00
aten_0.1.m1.2767.m1	165.00	6027.00	318.00	4221.00	411.00	13167.00	701.00	7556.00	122.00	4282.00	691.00	399.00	8934.00	286.00	18625.00	7511.00	233.00	20106.00	126.00	6872.00	485.00	24424.00
aten_0.1.m1.32881.m1	258.95	133.15	114.17	4.97	156.52	108.01	323.95	70.14	176.10	21.49	101.11	168.50	24.51	79.27	50.54	56.87	124.78	30.97	38.46	7.90	81.09	10.91
aten_0.1.m1.4647.m1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.25628.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.30470.m1	99.00	36.00	181.00	27.00	181.00	53.00	187.00	8.00	205.00	24.00	140.00	172.00	22.00	118.00	28.00	43.00	89.00	14.00	83.00	69.00	40.00	21.00
aten_0.1.m1.12058.m1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.65	0.00	1.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.10372.m1	47.48	38.42	48.27	2.00	5.96	2.80	24.85	19.07	4.86	1.00	2.54	143.50	28.11	81.63	39.78	1.73	86.12	11.29	5.65	0.00	27.20	8.47
aten_0.1.m1.32440.m1	732.18	158.53	714.42	24.35	542.77	84.21	754.79	58.85	929.54	13.49	354.61	449.71	17.42	753.17	207.54	48.23	168.52	41.04	318.39	91.17	246.63	44.25
aten_0.1.m1.33638.m1	156.57	171.09	165.64	118.37	234.03	219.90	148.75	72.35	87.40	35.86	167.06	148.62	70.26	151.99	61.55	178.88	176.71	104.25	100.49	130.38	120.20	72.10
aten_0.1.m1.25376.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.5582.m1	54.00	15.00	87.00	4.00	117.00	18.00	84.00	11.00	72.00	5.00	59.00	65.00	5.00	48.00	3.00	19.00	46.00	2.00	49.00	19.00	39.00	2.00
aten_0.1.m1.4558.m1	26.00	37.00	21.00	17.00	36.00	44.00	42.00	8.00	26.00	10.00	27.00	76.00	29.00	36.00	28.00	14.00	25.00	5.00	7.00	8.00	23.00	6.00
aten_0.1.m1.6515.m1	150.00	65.00	266.00	16.00	311.00	77.00	417.00	18.00	287.00	14.00	177.00	269.00	14.00	167.00	44.00	37.00	187.00	23.00	97.00	93.00	66.00	20.00
aten_0.1.m1.22501.m1	7.67	2.91	12.30	7.51	3.01	0.85	14.14	0.00	15.69	0.00	14.94	15.45	3.96	14.22	6.66	3.99	6.71	3.07	5.22	16.84	4.80	4.83
aten_0.1.m1.12831.m1	7.00	14.00	27.00	8.00	11.00	6.00	22.00	0.00	16.00	5.00	4.00	8.00	8.00	7.00	7.00	3.00	9.00	3.00	14.00	2.00	11.00	4.00
aten_0.1.m1.14126.m1	198.00	39.00	222.00	2.00	274.00	30.00	294.00	8.00	267.00	9.00	312.00	228.00	23.00	159.00	9.00	26.00	77.00	4.00	241.00	42.00	156.00	9.00
aten_0.1.m1.11965.m1	400.00	377.00	489.00	226.00	603.00	658.00	416.00	278.00	586.00	262.00	362.00	495.00	94.00	353.00	325.00	331.00	365.00	210.00	303.00	400.00	256.00	198.00
aten_0.1.m1.28942.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.10642.m1	6.00	1.00	5.00	5.00	35.00	31.00	19.00	3.00	18.00	6.00	7.00	33.00	4.00	27.00	5.00	11.00	13.00	7.00	0.00	11.00	9.00	2.00
aten_0.1.m1.8006.m1	24.00	0.00	20.00	3.00	20.00	4.00	30.00	0.00	28.00	0.00	21.00	31.00	0.00	40.00	0.00	1.00	15.00	0.00	9.00	6.00	8.00	0.00
aten_0.1.m1.7986.m1	0.00	0.00	0.00	0.00	2.00	6.00	0.00	0.00	0.00	2.00	0.00	4.00	2.00	1.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
aten_0.1.m1.20555.m1	0.00	0.00	5.27	1.56	2.79	7.20	4.47	3.94	12.09	15.07	3.57	5.51	4.55	5.84	0.00	21.35	10.61	0.00	0.00	1.57	1.34	1.46
aten_0.1.m1.35855.m1	6.00	2.00	1.00	2.00	9.00	4.00	1.00	1.00	5.00	0.00	12.00	12.00	1.00	6.00	2.00	0.00	1.00	1.00	3.00	4.00	1.00	0.00
aten_0.1.m1.7295.m1	53.28	58.95	96.52	34.40	138.20	95.98	138.24	54.21	124.60	21.66	56.29	115.07	37.58	72.00	62.55	34.56	78.11	21.02	44.00	58.81	66.53	23.30
aten_0.1.m1.10452.m1	329.00	71.00	416.00	109.00	339.00	204.00	525.00	54.00	286.00	46.00	191.00	218.00	54.00	200.00	69.00	32.00	107.00	88.00	156.00	38.00	236.00	213.00
aten_0.1.m1.17425.m1	54.00	3.00	37.97	2.00	98.59	10.00	73.16	0.00	28.00	5.00	64.00	34.78	0.00	19.82	0.00	8.00	20.96	0.00	40.00	23.00	14.00	0.00
aten_0.1.m1.26510.m1	72.00	26.00	101.00	22.00	151.00	59.00	243.00	5.00	55.00	8.00	91.00	93.00	26.00	54.00	19.00	67.00	55.00	22.00	57.00	22.00	50.00	9.00
aten_0.1.m1.11204.m1	938.00	338.00	1094.00	135.00	1361.00	451.00	1401.00	219.00	1154.00	136.00	1334.00	908.00	130.00	766.00	241.00	241.00	686.00	81.00	991.00	387.00	940.00	118.00
aten_0.1.m1.12308.m1	34.00	51.00	51.00	24.00	70.00	65.00	78.00	14.00	62.00	16.00	65.00	57.00	43.00	50.00	32.00	34.00	27.00	12.00	42.00	37.00	41.00	33.00
aten_0.1.m1.15675.m1	23.00	9.00	18.00	0.00	13.00	12.00	45.00	6.00	8.00	1.00	3.00	10.00	1.00	10.00	5.00	5.00	4.00	1.00	7.00	1.00	10.00	8.00
aten_0.1.m1.8480.m1	24.00	5.00	25.00	0.00	27.00	4.00	8.00	3.00	5.00	1.00	7.00	17.00	2.00	1.00	5.00	3.00	1.00	3.00	2.00	14.00	5.00	2.00
aten_0.1.m1.33339.m1	1.99	0.00	0.00	0.00	1.69	3.99	0.00	0.00	0.00	1.00	0.00	3.95	0.00	4.88	3.52	4.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.6117.m1	15.45	26.29	37.20	22.94	59.86	104.26	62.21	45.58	53.99	16.13	53.20	92.38	36.90	41.05	59.00	30.00	45.00	17.51	11.15	37.59	15.00	30.00
aten_0.1.m1.35008.m1	80.65	16.82	152.28	11.90	163.92	6.12	148.12	4.09	118.04	10.51	94.04	123.90	5.50	58.89	9.43	20.87	98.70	4.70	51.91	8.89	78.47	19.20
aten_0.1.m1.31614.m1	1.00	2.00	0.00	0.00	9.00	4.00	3.00	1.00	0.00	0.00	3.00	9.00	2.00	5.00	0.00	1.00	0.00	0.00	0.00	4.00	0.00	0.00
aten_0.1.m1.23988.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
